Site_Id,Location,sensor_id,Sensor Type,lng,lat,Agency
170,170 Clear Creek @ Nassau Bay,173,Stream Level,-95.091224,29.534116,Harris County Flood Control District
170,170 Clear Creek @ Nassau Bay,201,SoilSaturation 20cm,-95.091224,29.534116,Harris County Flood Control District
170,170 Clear Creek @ Nassau Bay,301,SoilSaturation 40cm,-95.091224,29.534116,Harris County Flood Control District
175,175 Clear Creek @ Pearland Parkway,175,Rain Increment,-95.266054,29.594175,Harris County Flood Control District
175,175 Clear Creek @ Pearland Parkway,1757,Stream Level,-95.266054,29.594175,Harris County Flood Control District
180,180 Clear Creek @ Mykawa Road,179,Stream Level,-95.297345,29.596694,Harris County Flood Control District
180,180 Clear Creek @ Mykawa Road,180,Rain Increment,-95.297345,29.596694,Harris County Flood Control District
190,190 Clear Creek @ SH 288,190,Rain Increment,-95.385728,29.585343,Harris County Flood Control District
190,190 Clear Creek @ SH 288,193,Stream Level,-95.385728,29.585343,Harris County Flood Control District
200,200 Taylor Lake @ Nasa Road 1,200,Rain Increment,-95.053834,29.565371,Harris County Flood Control District
200,200 Taylor Lake @ Nasa Road 1,203,Stream Level,-95.053834,29.565371,Harris County Flood Control District
210,210 Armand Bayou @ Pasadena Lake (Nasa Road 1),210,Rain Increment,-95.070795,29.564191,Harris County Flood Control District
210,210 Armand Bayou @ Pasadena Lake (Nasa Road 1),213,Stream Level,-95.070795,29.564191,Harris County Flood Control District
220,220 Armand Bayou @ Genoa-Red Bluff Road,220,Rain Increment,-95.114485,29.633755,Harris County Flood Control District
220,220 Armand Bayou @ Genoa-Red Bluff Road,223,Stream Level,-95.114485,29.633755,Harris County Flood Control District
230,230 Big Island Slough @ Fairmont Parkway,1,Air Temperature,-95.076001,29.651497,Harris County Flood Control District
230,230 Big Island Slough @ Fairmont Parkway,2,Humidity Sensor,-95.076001,29.651497,Harris County Flood Control District
230,230 Big Island Slough @ Fairmont Parkway,3,Barometric Pressure,-95.076001,29.651497,Harris County Flood Control District
230,230 Big Island Slough @ Fairmont Parkway,4,WindGust,-95.076001,29.651497,Harris County Flood Control District
230,230 Big Island Slough @ Fairmont Parkway,5,Wind Direction,-95.076001,29.651497,Harris County Flood Control District
230,230 Big Island Slough @ Fairmont Parkway,6,Wind Gust,-95.076001,29.651497,Harris County Flood Control District
230,230 Big Island Slough @ Fairmont Parkway,230,Rain Increment,-95.076001,29.651497,Harris County Flood Control District
230,230 Big Island Slough @ Fairmont Parkway,233,Stream Level,-95.076001,29.651497,Harris County Flood Control District
240,240 Little Vince Bayou @ Burke Road,239,Stream Level,-95.183473,29.683502,Harris County Flood Control District
240,240 Little Vince Bayou @ Burke Road,240,Rain Increment,-95.183473,29.683502,Harris County Flood Control District
245,245 Armand Bayou @ Space Center Boulevard,245,Rain Increment,-95.1442238,29.6634643,Harris County Flood Control District
245,245 Armand Bayou @ Space Center Boulevard,2457,Stream Level,-95.1442238,29.6634643,Harris County Flood Control District
250,250 Horsepen Bayou @ Bay Area Boulevard,101,SoilSaturation 5cm,-95.103438,29.583671,Harris County Flood Control District
250,250 Horsepen Bayou @ Bay Area Boulevard,201,SoilSaturation 20cm,-95.103438,29.583671,Harris County Flood Control District
250,250 Horsepen Bayou @ Bay Area Boulevard,249,Stream Level,-95.103438,29.583671,Harris County Flood Control District
250,250 Horsepen Bayou @ Bay Area Boulevard,250,Rain Increment,-95.103438,29.583671,Harris County Flood Control District
250,250 Horsepen Bayou @ Bay Area Boulevard,301,SoilSaturation 40cm,-95.103438,29.583671,Harris County Flood Control District
270,270 Willow Spring Bayou @ Fairmont Parkway,1,Air Temperature,-95.110027,29.650747,Harris County Flood Control District
270,270 Willow Spring Bayou @ Fairmont Parkway,2,Humidity Sensor,-95.110027,29.650747,Harris County Flood Control District
270,270 Willow Spring Bayou @ Fairmont Parkway,3,Barometric Pressure,-95.110027,29.650747,Harris County Flood Control District
270,270 Willow Spring Bayou @ Fairmont Parkway,4,WindGust,-95.110027,29.650747,Harris County Flood Control District
270,270 Willow Spring Bayou @ Fairmont Parkway,5,Wind Direction,-95.110027,29.650747,Harris County Flood Control District
270,270 Willow Spring Bayou @ Fairmont Parkway,6,Wind Gust,-95.110027,29.650747,Harris County Flood Control District
270,270 Willow Spring Bayou @ Fairmont Parkway,270,Rain Increment,-95.110027,29.650747,Harris County Flood Control District
270,270 Willow Spring Bayou @ Fairmont Parkway,273,Stream Level,-95.110027,29.650747,Harris County Flood Control District
310,310 Berry Bayou @ Nevada Avenue,101,SoilSaturation 5cm,-95.228933,29.656295,Harris County Flood Control District
310,310 Berry Bayou @ Nevada Avenue,201,SoilSaturation 20cm,-95.228933,29.656295,Harris County Flood Control District
310,310 Berry Bayou @ Nevada Avenue,301,SoilSaturation 40cm,-95.228933,29.656295,Harris County Flood Control District
310,310 Berry Bayou @ Nevada Avenue,309,Stream Level,-95.228933,29.656295,Harris County Flood Control District
310,310 Berry Bayou @ Nevada Avenue,310,Rain Increment,-95.228933,29.656295,Harris County Flood Control District
320,320 Berry Bayou @ Forest Oaks Boulevard,320,Rain Increment,-95.243682,29.676469,Harris County Flood Control District
320,320 Berry Bayou @ Forest Oaks Boulevard,323,Stream Level,-95.243682,29.676469,Harris County Flood Control District
340,340 Sims Bayou @ Telephone Road,339,Stream Level,-95.289014,29.674494,Harris County Flood Control District
340,340 Sims Bayou @ Telephone Road,340,Rain Increment,-95.289014,29.674494,Harris County Flood Control District
360,360 Sims Bayou @ Martin Luther King Road,360,Rain Increment,-95.336798,29.644783,Harris County Flood Control District
360,360 Sims Bayou @ Martin Luther King Road,363,Stream Level,-95.336798,29.644783,Harris County Flood Control District
370,370 Sims Bayou @ SH 288,370,Rain Increment,-95.386657,29.632178,Harris County Flood Control District
370,370 Sims Bayou @ SH 288,373,Stream Level,-95.386657,29.632178,Harris County Flood Control District
380,380 Sims Bayou @ Hiram Clarke Rd,101,SoilSaturation 5cm,-95.445887,29.619293,Harris County Flood Control District
380,380 Sims Bayou @ Hiram Clarke Rd,201,SoilSaturation 20cm,-95.445887,29.619293,Harris County Flood Control District
380,380 Sims Bayou @ Hiram Clarke Rd,301,SoilSaturation 40cm,-95.445887,29.619293,Harris County Flood Control District
380,380 Sims Bayou @ Hiram Clarke Rd,379,Stream Level,-95.445887,29.619293,Harris County Flood Control District
380,380 Sims Bayou @ Hiram Clarke Rd,380,Rain Increment,-95.445887,29.619293,Harris County Flood Control District
400,400 Harris Gully @ South McGregor Way,400,Rain Increment,-95.391914,29.707796,Harris County Flood Control District
400,400 Harris Gully @ South McGregor Way,403,Stream Level,-95.391914,29.707796,Harris County Flood Control District
405,405 Brays Bayou @ Martin Luther King Blvd,405,Rain Increment,-95.339294,29.714667,Harris County Flood Control District
405,405 Brays Bayou @ Martin Luther King Blvd,408,Stream Level,-95.339294,29.714667,Harris County Flood Control District
410,410 Brays Bayou @ Lawndale Street,410,Rain Increment,-95.305332,29.722625,Harris County Flood Control District
410,410 Brays Bayou @ Lawndale Street,413,Stream Level,-95.305332,29.722625,Harris County Flood Control District
420,420 Brays Bayou @ South Main Street,418,Stream Level,-95.412138,29.697018,Harris County Flood Control District
420,420 Brays Bayou @ South Main Street,420,Rain Increment,-95.412138,29.697018,Harris County Flood Control District
430,430 Brays Bayou @ Stella Link Road,429,Stream Level,-95.439914,29.690953,Harris County Flood Control District
430,430 Brays Bayou @ Stella Link Road,430,Rain Increment,-95.439914,29.690953,Harris County Flood Control District
435,435 Willow Water Hole @ Willowbend Boulevard,435,Rain Increment,-95.460008,29.664477,Harris County Flood Control District
435,435 Willow Water Hole @ Willowbend Boulevard,438,Stream Level,-95.460008,29.664477,Harris County Flood Control District
440,440 Brays Bayou @ Rice Avenue,439,Stream Level,-95.467271,29.678605,Harris County Flood Control District
440,440 Brays Bayou @ Rice Avenue,440,Rain Increment,-95.467271,29.678605,Harris County Flood Control District
445,445 Willow Water Hole @ Landsdowne Drive,444,Stream Level,-95.4867,29.65023,Harris County Flood Control District
445,445 Willow Water Hole @ Landsdowne Drive,445,Rain Increment,-95.4867,29.65023,Harris County Flood Control District
460,460 Brays Bayou @ Gessner Road,101,SoilSaturation 5cm,-95.527994,29.672371,Harris County Flood Control District
460,460 Brays Bayou @ Gessner Road,201,SoilSaturation 20cm,-95.527994,29.672371,Harris County Flood Control District
460,460 Brays Bayou @ Gessner Road,301,SoilSaturation 40cm,-95.527994,29.672371,Harris County Flood Control District
460,460 Brays Bayou @ Gessner Road,459,Stream Level,-95.527994,29.672371,Harris County Flood Control District
460,460 Brays Bayou @ Gessner Road,460,Rain Increment,-95.527994,29.672371,Harris County Flood Control District
465,465 Brays Bayou @ Beltway 8,465,Rain Increment,-95.556599,29.695066,Harris County Flood Control District
465,465 Brays Bayou @ Beltway 8,468,Stream Level,-95.556599,29.695066,Harris County Flood Control District
470,470 Brays Bayou @ Belle Park Drive,470,Rain Increment,-95.5825,29.709284,Harris County Flood Control District
470,470 Brays Bayou @ Belle Park Drive,473,Stream Level,-95.5825,29.709284,Harris County Flood Control District
475,475 Brays Bayou @ Bellaire Boulevard,475,Rain Increment,-95.566081,29.70391,Harris County Flood Control District
475,475 Brays Bayou @ Bellaire Boulevard,478,Stream Level,-95.566081,29.70391,Harris County Flood Control District
480,480 Keegans Bayou @ Roark Road,479,Stream Level,-95.562488,29.656136,Harris County Flood Control District
480,480 Keegans Bayou @ Roark Road,480,Rain Increment,-95.562488,29.656136,Harris County Flood Control District
485,485 Brays Bayou @ SH 6,101,SoilSaturation 5cm,-95.643933,29.715071,Harris County Flood Control District
485,485 Brays Bayou @ SH 6,201,SoilSaturation 20cm,-95.643933,29.715071,Harris County Flood Control District
485,485 Brays Bayou @ SH 6,301,SoilSaturation 40cm,-95.643933,29.715071,Harris County Flood Control District
485,485 Brays Bayou @ SH 6,484,Stream Level,-95.643933,29.715071,Harris County Flood Control District
485,485 Brays Bayou @ SH 6,485,Rain Increment,-95.643933,29.715071,Harris County Flood Control District
490,490 Keegans Bayou @ Keegan Road,490,Rain Increment,-95.594888,29.665949,Harris County Flood Control District
490,490 Keegans Bayou @ Keegan Road,493,Stream Level,-95.594888,29.665949,Harris County Flood Control District
495,495 Keegans Bayou @ Rocky Valley,495,Rain Increment,-95.649195,29.678422,Harris County Flood Control District
495,495 Keegans Bayou @ Rocky Valley,498,Stream Level,-95.649195,29.678422,Harris County Flood Control District
510,510 Harris County Flood Control @ Brookhollow,2,Humidity Sensor,-95.452383,29.806225,Harris County Flood Control District
510,510 Harris County Flood Control @ Brookhollow,4,WindGust,-95.452383,29.806225,Harris County Flood Control District
510,510 Harris County Flood Control @ Brookhollow,5,Wind Direction,-95.452383,29.806225,Harris County Flood Control District
510,510 Harris County Flood Control @ Brookhollow,6,Wind Gust,-95.452383,29.806225,Harris County Flood Control District
510,510 Harris County Flood Control @ Brookhollow,510,Rain Increment,-95.452383,29.806225,Harris County Flood Control District
510,510 Harris County Flood Control @ Brookhollow,512,Air Temperature,-95.452383,29.806225,Harris County Flood Control District
510,510 Harris County Flood Control @ Brookhollow,514,Barometric Pressure,-95.452383,29.806225,Harris County Flood Control District
520,520 White Oak Bayou @ Heights Boulevard,519,Stream Level,-95.397145,29.774876,Harris County Flood Control District
520,520 White Oak Bayou @ Heights Boulevard,520,Rain Increment,-95.397145,29.774876,Harris County Flood Control District
530,530 White Oak Bayou @ Ella Boulevard,530,Rain Increment,-95.429368,29.803438,Harris County Flood Control District
530,530 White Oak Bayou @ Ella Boulevard,533,Stream Level,-95.429368,29.803438,Harris County Flood Control District
535,535 White Oak Bayou @ Pinemont Drive,534,Stream Level,-95.458339,29.840915,Harris County Flood Control District
535,535 White Oak Bayou @ Pinemont Drive,535,Rain Increment,-95.458339,29.840915,Harris County Flood Control District
540,540 White Oak Bayou @ Alabonson Road,540,Rain Increment,-95.480366,29.870424,Harris County Flood Control District
540,540 White Oak Bayou @ Alabonson Road,543,Stream Level,-95.480366,29.870424,Harris County Flood Control District
545,545 White Oak Bayou @ Fairbanks North Houston Road,544,Stream Level,-95.524522,29.877297,Harris County Flood Control District
545,545 White Oak Bayou @ Fairbanks North Houston Road,545,Rain Increment,-95.524522,29.877297,Harris County Flood Control District
550,550 White Oak Bayou @ Lakeview Drive,549,Stream Level,-95.556185,29.887358,Harris County Flood Control District
550,550 White Oak Bayou @ Lakeview Drive,550,Rain Increment,-95.556185,29.887358,Harris County Flood Control District
555,555 White Oak Bayou @ Jones Road,101,SoilSaturation 5cm,-95.584556,29.917687,Harris County Flood Control District
555,555 White Oak Bayou @ Jones Road,201,SoilSaturation 20cm,-95.584556,29.917687,Harris County Flood Control District
555,555 White Oak Bayou @ Jones Road,301,SoilSaturation 40cm,-95.584556,29.917687,Harris County Flood Control District
555,555 White Oak Bayou @ Jones Road,555,Rain Increment,-95.584556,29.917687,Harris County Flood Control District
555,555 White Oak Bayou @ Jones Road,558,Stream Level,-95.584556,29.917687,Harris County Flood Control District
560,560 Little White Oak Bayou @ Trimble Street,101,SoilSaturation 5cm,-95.367817,29.792956,Harris County Flood Control District
560,560 Little White Oak Bayou @ Trimble Street,201,SoilSaturation 20cm,-95.367817,29.792956,Harris County Flood Control District
560,560 Little White Oak Bayou @ Trimble Street,301,SoilSaturation 40cm,-95.367817,29.792956,Harris County Flood Control District
560,560 Little White Oak Bayou @ Trimble Street,559,Stream Level,-95.367817,29.792956,Harris County Flood Control District
560,560 Little White Oak Bayou @ Trimble Street,560,Rain Increment,-95.367817,29.792956,Harris County Flood Control District
570,570 Little White Oak Bayou @ Tidwell Road,570,Rain Increment,-95.399729,29.845139,Harris County Flood Control District
570,570 Little White Oak Bayou @ Tidwell Road,573,Stream Level,-95.399729,29.845139,Harris County Flood Control District
575,575 White Oak Bayou @ Tidwell Road,575,Rain Increment,-95.460193,29.846237,Harris County Flood Control District
575,575 White Oak Bayou @ Tidwell Road,578,Stream Level,-95.460193,29.846237,Harris County Flood Control District
580,580 Brickhouse Gully @ Costa Rica Road,579,Stream Level,-95.469019,29.827664,Harris County Flood Control District
580,580 Brickhouse Gully @ Costa Rica Road,580,Rain Increment,-95.469019,29.827664,Harris County Flood Control District
582,582 Brickhouse Gully @ Hollister,582,Rain Increment,-95.509149,29.823918,Harris County Flood Control District
582,582 Brickhouse Gully @ Hollister,5827,Stream Level,-95.509149,29.823918,Harris County Flood Control District
585,585 Vogel Creek @ Victory Drive,101,SoilSaturation 5cm,-95.4692,29.868133,Harris County Flood Control District
585,585 Vogel Creek @ Victory Drive,201,SoilSaturation 20cm,-95.4692,29.868133,Harris County Flood Control District
585,585 Vogel Creek @ Victory Drive,301,SoilSaturation 40cm,-95.4692,29.868133,Harris County Flood Control District
585,585 Vogel Creek @ Victory Drive,584,Stream Level,-95.4692,29.868133,Harris County Flood Control District
585,585 Vogel Creek @ Victory Drive,585,Rain Increment,-95.4692,29.868133,Harris County Flood Control District
590,590 Cole Creek @ Deihl Road,589,Stream Level,-95.487669,29.850893,Harris County Flood Control District
590,590 Cole Creek @ Deihl Road,590,Rain Increment,-95.487669,29.850893,Harris County Flood Control District
595,595 Vogel Creek @ Gulf Bank Road,594,Stream Level,-95.467416,29.883128,Harris County Flood Control District
595,595 Vogel Creek @ Gulf Bank Road,595,Rain Increment,-95.467416,29.883128,Harris County Flood Control District
605,605 Taylor Lake @ Port Road,605,Rain Increment,-95.039618,29.603818,Harris County Flood Control District
605,605 Taylor Lake @ Port Road,608,Stream Level,-95.039618,29.603818,Harris County Flood Control District
610,610 Taylors Bayou @ Shoreacres Boulevard,3,Barometric Pressure,-95.021669,29.619923,Harris County Flood Control District
610,610 Taylors Bayou @ Shoreacres Boulevard,4,WindGust,-95.021669,29.619923,Harris County Flood Control District
610,610 Taylors Bayou @ Shoreacres Boulevard,5,Wind Direction,-95.021669,29.619923,Harris County Flood Control District
610,610 Taylors Bayou @ Shoreacres Boulevard,6,Wind Gust,-95.021669,29.619923,Harris County Flood Control District
610,610 Taylors Bayou @ Shoreacres Boulevard,101,SoilSaturation 5cm,-95.021669,29.619923,Harris County Flood Control District
610,610 Taylors Bayou @ Shoreacres Boulevard,201,SoilSaturation 20cm,-95.021669,29.619923,Harris County Flood Control District
610,610 Taylors Bayou @ Shoreacres Boulevard,301,SoilSaturation 40cm,-95.021669,29.619923,Harris County Flood Control District
610,610 Taylors Bayou @ Shoreacres Boulevard,610,Rain Increment,-95.021669,29.619923,Harris County Flood Control District
610,610 Taylors Bayou @ Shoreacres Boulevard,611,Humidity Sensor,-95.021669,29.619923,Harris County Flood Control District
610,610 Taylors Bayou @ Shoreacres Boulevard,612,Air Temperature,-95.021669,29.619923,Harris County Flood Control District
610,610 Taylors Bayou @ Shoreacres Boulevard,613,Stream Level,-95.021669,29.619923,Harris County Flood Control District
620,620 Little Cedar Bayou @ 8th Street,1,Air Temperature,-95.027295,29.650057,Harris County Flood Control District
620,620 Little Cedar Bayou @ 8th Street,2,Humidity Sensor,-95.027295,29.650057,Harris County Flood Control District
620,620 Little Cedar Bayou @ 8th Street,3,Barometric Pressure,-95.027295,29.650057,Harris County Flood Control District
620,620 Little Cedar Bayou @ 8th Street,4,WindGust,-95.027295,29.650057,Harris County Flood Control District
620,620 Little Cedar Bayou @ 8th Street,5,Wind Direction,-95.027295,29.650057,Harris County Flood Control District
620,620 Little Cedar Bayou @ 8th Street,620,Rain Increment,-95.027295,29.650057,Harris County Flood Control District
640,640 Lateral @ Sens Road,1,Air Temperature,-95.046849,29.683451,Harris County Flood Control District
640,640 Lateral @ Sens Road,2,Humidity Sensor,-95.046849,29.683451,Harris County Flood Control District
640,640 Lateral @ Sens Road,3,Barometric Pressure,-95.046849,29.683451,Harris County Flood Control District
640,640 Lateral @ Sens Road,4,WindGust,-95.046849,29.683451,Harris County Flood Control District
640,640 Lateral @ Sens Road,5,Wind Direction,-95.046849,29.683451,Harris County Flood Control District
640,640 Lateral @ Sens Road,640,Rain Increment,-95.046849,29.683451,Harris County Flood Control District
640,640 Lateral @ Sens Road,643,Stream Level,-95.046849,29.683451,Harris County Flood Control District
640,640 Lateral @ Sens Road,647,Wind Gust,-95.046849,29.683451,Harris County Flood Control District
650,650 Patricks Bayou @ East 8th Street,650,Rain Increment,-95.1175924,29.7051518,Harris County Flood Control District
650,650 Patricks Bayou @ East 8th Street,651,Air Temperature,-95.1175924,29.7051518,Harris County Flood Control District
650,650 Patricks Bayou @ East 8th Street,652,Barometric Pressure,-95.1175924,29.7051518,Harris County Flood Control District
650,650 Patricks Bayou @ East 8th Street,653,Stream Level,-95.1175924,29.7051518,Harris County Flood Control District
650,650 Patricks Bayou @ East 8th Street,654,Wind Gust,-95.1175924,29.7051518,Harris County Flood Control District
650,650 Patricks Bayou @ East 8th Street,655,Humidity Sensor,-95.1175924,29.7051518,Harris County Flood Control District
650,650 Patricks Bayou @ East 8th Street,656,Wind Direction,-95.1175924,29.7051518,Harris County Flood Control District
650,650 Patricks Bayou @ East 8th Street,657,WindGust,-95.1175924,29.7051518,Harris County Flood Control District
660,660 Boggy Bayou @ San Augustine Street,101,SoilSaturation 5cm,-95.145048,29.690669,Harris County Flood Control District
660,660 Boggy Bayou @ San Augustine Street,201,SoilSaturation 20cm,-95.145048,29.690669,Harris County Flood Control District
660,660 Boggy Bayou @ San Augustine Street,301,SoilSaturation 40cm,-95.145048,29.690669,Harris County Flood Control District
660,660 Boggy Bayou @ San Augustine Street,660,Rain Increment,-95.145048,29.690669,Harris County Flood Control District
660,660 Boggy Bayou @ San Augustine Street,663,Stream Level,-95.145048,29.690669,Harris County Flood Control District
710,710 San Jacinto River @ Rio Villa,2,Humidity Sensor,-95.077694,29.829041,Harris County Flood Control District
710,710 San Jacinto River @ Rio Villa,3,Barometric Pressure,-95.077694,29.829041,Harris County Flood Control District
710,710 San Jacinto River @ Rio Villa,4,WindGust,-95.077694,29.829041,Harris County Flood Control District
710,710 San Jacinto River @ Rio Villa,5,Wind Direction,-95.077694,29.829041,Harris County Flood Control District
710,710 San Jacinto River @ Rio Villa,101,SoilSaturation 5cm,-95.077694,29.829041,Harris County Flood Control District
710,710 San Jacinto River @ Rio Villa,201,SoilSaturation 20cm,-95.077694,29.829041,Harris County Flood Control District
710,710 San Jacinto River @ Rio Villa,301,SoilSaturation 40cm,-95.077694,29.829041,Harris County Flood Control District
710,710 San Jacinto River @ Rio Villa,710,Rain Increment,-95.077694,29.829041,Harris County Flood Control District
710,710 San Jacinto River @ Rio Villa,712,Air Temperature,-95.077694,29.829041,Harris County Flood Control District
710,710 San Jacinto River @ Rio Villa,713,Stream Level,-95.077694,29.829041,Harris County Flood Control District
710,710 San Jacinto River @ Rio Villa,717,Wind Gust,-95.077694,29.829041,Harris County Flood Control District
720,720 San Jacinto River @ US 90,719,Stream Level,-95.093111,29.876372,Harris County Flood Control District
720,720 San Jacinto River @ US 90,720,Rain Increment,-95.093111,29.876372,Harris County Flood Control District
740,740 Lake Houston @ FM 1960,1,Air Temperature,-95.121011,30.0166,Harris County Flood Control District
740,740 Lake Houston @ FM 1960,2,Humidity Sensor,-95.121011,30.0166,Harris County Flood Control District
740,740 Lake Houston @ FM 1960,3,Barometric Pressure,-95.121011,30.0166,Harris County Flood Control District
740,740 Lake Houston @ FM 1960,4,WindGust,-95.121011,30.0166,Harris County Flood Control District
740,740 Lake Houston @ FM 1960,5,Wind Direction,-95.121011,30.0166,Harris County Flood Control District
740,740 Lake Houston @ FM 1960,6,Wind Gust,-95.121011,30.0166,Harris County Flood Control District
740,740 Lake Houston @ FM 1960,739,Stream Level,-95.121011,30.0166,Harris County Flood Control District
740,740 Lake Houston @ FM 1960,740,Rain Increment,-95.121011,30.0166,Harris County Flood Control District
750,750 Lake Houston Dam Spillway,749,Stream Level,-95.141641,29.916112,Harris County Flood Control District
750,750 Lake Houston Dam Spillway,750,Rain Increment,-95.141641,29.916112,Harris County Flood Control District
755,755 San Jacinto River @ Lake Houston Pkwy,101,SoilSaturation 5cm,-95.175246,30.03041,Harris County Flood Control District
755,755 San Jacinto River @ Lake Houston Pkwy,201,SoilSaturation 20cm,-95.175246,30.03041,Harris County Flood Control District
755,755 San Jacinto River @ Lake Houston Pkwy,301,SoilSaturation 40cm,-95.175246,30.03041,Harris County Flood Control District
755,755 San Jacinto River @ Lake Houston Pkwy,755,Rain Increment,-95.175246,30.03041,Harris County Flood Control District
755,755 San Jacinto River @ Lake Houston Pkwy,758,Stream Level,-95.175246,30.03041,Harris County Flood Control District
760,760 San Jacinto River @ US 59,759,Stream Level,-95.257999,30.026775,Harris County Flood Control District
760,760 San Jacinto River @ US 59,760,Rain Increment,-95.257999,30.026775,Harris County Flood Control District
